DATE,REGION,ID_REGION,CONTAMINES,DECES,GUERIS,CONTAMINES_FEMME,CONTAMINES_HOMME,CONTAMINES_GENRE_NON_SPECIFIE,Daily_CONTAMINES,Daily_DECES,Daily_GUERIS,Daily_CONTAMINES_FEMME,Daily_CONTAMINES_HOMME,Daily_CONTAMINES_GENRE_NON_SPECIFIE,Daily_Rolling_7,Rt_Approx
2020-02-27,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-28,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-02-29,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-01,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-02,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-03,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-04,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-16,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-17,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-18,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-19,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-20,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-21,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-22,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-23,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-24,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-25,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-26,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-27,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-28,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-29,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-30,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-31,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-01,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-02,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-03,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-04,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-05,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-06,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-07,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-08,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-09,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-10,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-11,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-12,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-13,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-14,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-15,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-16,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-17,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-18,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-19,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-20,Abia,170,2,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-21,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-22,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-23,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-24,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-25,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-26,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-04-27,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-29,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-30,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-01,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-02,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-03,Abia,170,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2020-05-04,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-05,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-06,Abia,170,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
