REGION,Peak_Daily
Abia,103.0
Adamawa,180.0
Akwa Ibom,142.0
Anambra,344.0
Bauchi,65.0
Bayelsa,54.0
Benue,202.0
Borno,166.0
Cross River,72.0
Delta,508.0
Ebonyi,108.0
Edo,155.0
Ekiti,38.0
Enugu,78.0
Federal Capital Territory,734.0
Gombe,109.0
Imo,110.0
Jigawa,44.0
Kaduna,417.0
Kano,103.0
Katsina,53.0
Kebbi,45.0
Kogi,2.0
Kwara,155.0
Lagos,1841.0
Nasarawa,92.0
Niger,69.0
Non spécifié,0.0
Ogun,100.0
Ondo,180.0
Osun,120.0
Oyo,234.0
Plateau,199.0
Rivers,395.0
Sokoto,42.0
Taraba,109.0
Yobe,24.0
Zamfara,45.0
