REGION,Peak_Weekly
Abia,118.0
Adamawa,180.0
Akwa Ibom,272.0
Anambra,378.0
Bauchi,108.0
Bayelsa,81.0
Benue,202.0
Borno,176.0
Cross River,72.0
Delta,519.0
Ebonyi,148.0
Edo,272.0
Ekiti,69.0
Enugu,153.0
Federal Capital Territory,879.0
Gombe,139.0
Imo,132.0
Jigawa,79.0
Kaduna,481.0
Kano,181.0
Katsina,107.0
Kebbi,45.0
Kogi,2.0
Kwara,285.0
Lagos,2703.0
Nasarawa,138.0
Niger,84.0
Non spécifié,0.0
Ogun,146.0
Ondo,218.0
Osun,143.0
Oyo,354.0
Plateau,282.0
Rivers,498.0
Sokoto,112.0
Taraba,111.0
Yobe,37.0
Zamfara,45.0
