REGION,DATE,Weekly_Contamines,Weekly_Rolling_4
Abia,2020-03-02,0.0,
Abia,2020-03-09,0.0,
Abia,2020-03-16,0.0,
Abia,2020-03-23,0.0,0.0
Abia,2020-03-30,0.0,0.0
Abia,2020-04-06,0.0,0.0
Abia,2020-04-13,0.0,0.0
Abia,2020-04-20,2.0,0.5
Abia,2020-04-27,0.0,0.5
Abia,2020-05-04,0.0,0.5
Abia,2020-05-11,0.0,0.5
Abia,2020-05-18,3.0,0.75
Abia,2020-05-25,2.0,1.25
Abia,2020-06-01,7.0,3.0
Abia,2020-06-08,67.0,19.75
Abia,2020-06-15,83.0,39.75
Abia,2020-06-22,58.0,53.75
Abia,2020-06-29,19.0,56.75
Abia,2020-07-06,36.0,49.0
Abia,2020-07-13,6.0,29.75
Abia,2020-07-20,113.0,43.5
Abia,2020-07-27,19.0,43.5
Abia,2020-08-03,31.0,42.25
Abia,2020-08-10,42.0,51.25
Abia,2020-08-17,61.0,38.25
Abia,2020-08-24,24.0,39.5
Abia,2020-08-31,16.0,35.75
Abia,2020-09-07,40.0,35.25
Abia,2020-09-14,11.0,22.75
Abia,2020-09-21,53.0,30.0
Abia,2020-09-28,13.0,29.25
Abia,2020-10-05,3.0,20.0
Abia,2020-10-12,0.0,17.25
Abia,2020-10-19,0.0,4.0
Abia,2020-10-26,0.0,0.75
Abia,2020-11-02,0.0,0.0
Abia,2020-11-09,28.0,7.0
Abia,2020-11-16,0.0,7.0
Abia,2020-11-23,0.0,7.0
Abia,2020-11-30,0.0,7.0
Abia,2020-12-07,0.0,0.0
Abia,2020-12-14,47.0,11.75
Abia,2020-12-21,10.0,14.25
Abia,2020-12-28,0.0,14.25
Abia,2021-01-04,30.0,21.75
Abia,2021-01-11,33.0,18.25
Abia,2021-01-18,43.0,26.5
Abia,2021-01-25,69.0,43.75
Abia,2021-02-01,17.0,40.5
Abia,2021-02-08,118.0,61.75
Abia,2021-02-15,0.0,51.0
Abia,2021-02-22,44.0,44.75
Abia,2021-03-01,42.0,51.0
Abia,2021-03-08,36.0,30.5
Abia,2021-03-15,33.0,38.75
Abia,2021-03-22,18.0,32.25
Abia,2021-03-29,16.0,25.75
Abia,2021-04-05,11.0,19.5
Abia,2021-04-12,7.0,13.0
Abia,2021-04-19,0.0,8.5
Abia,2021-04-26,6.0,6.0
Abia,2021-05-03,1.0,3.5
Abia,2021-05-10,0.0,1.75
Abia,2021-05-17,0.0,1.75
Abia,2021-05-24,3.0,1.0
Abia,2021-05-31,0.0,0.75
Abia,2021-06-07,0.0,0.75
Abia,2021-06-14,0.0,0.75
Abia,2021-06-21,0.0,0.0
Abia,2021-06-28,0.0,0.0
Abia,2021-07-05,0.0,0.0
Abia,2021-07-12,0.0,0.0
Abia,2021-07-19,0.0,0.0
Abia,2021-07-26,7.0,1.75
Abia,2021-08-02,33.0,10.0
Abia,2021-08-09,7.0,11.75
Abia,2021-08-16,43.0,22.5
Abia,2021-08-23,5.0,22.0
Abia,2021-08-30,3.0,14.5
Abia,2021-09-06,64.0,28.75
Abia,2021-09-13,21.0,23.25
Abia,2021-09-20,26.0,28.5
Abia,2021-09-27,36.0,36.75
Abia,2021-10-04,10.0,23.25
Abia,2021-10-11,8.0,20.0
Abia,2021-10-18,38.0,23.0
Abia,2021-10-25,4.0,15.0
Abia,2021-11-01,2.0,13.0
Abia,2021-11-08,1.0,11.25
Abia,2021-11-15,9.0,4.0
Abia,2021-11-22,1.0,3.25
Abia,2021-11-29,3.0,3.5
Abia,2021-12-06,3.0,4.0
Abia,2021-12-13,8.0,3.75
Abia,2021-12-20,51.0,16.25
Abia,2021-12-27,26.0,22.0
Abia,2022-01-03,22.0,26.75
Abia,2022-01-10,1.0,25.0
Abia,2022-01-17,1.0,12.5
Abia,2022-01-24,6.0,7.5
Abia,2022-01-31,0.0,2.0
Abia,2022-02-07,0.0,1.75
Adamawa,2020-03-02,0.0,
Adamawa,2020-03-09,0.0,
Adamawa,2020-03-16,0.0,
Adamawa,2020-03-23,0.0,0.0
Adamawa,2020-03-30,0.0,0.0
Adamawa,2020-04-06,0.0,0.0
Adamawa,2020-04-13,0.0,0.0
Adamawa,2020-04-20,0.0,0.0
Adamawa,2020-04-27,1.0,0.25
Adamawa,2020-05-04,9.0,2.5
Adamawa,2020-05-11,6.0,4.0
Adamawa,2020-05-18,0.0,4.0
Adamawa,2020-05-25,6.0,5.25
Adamawa,2020-06-01,15.0,6.75
Adamawa,2020-06-08,0.0,5.25
Adamawa,2020-06-15,0.0,5.25
Adamawa,2020-06-22,3.0,4.5
Adamawa,2020-06-29,26.0,7.25
Adamawa,2020-07-06,15.0,11.0
Adamawa,2020-07-13,11.0,13.75
Adamawa,2020-07-20,5.0,14.25
Adamawa,2020-07-27,25.0,14.0
Adamawa,2020-08-03,23.0,16.0
Adamawa,2020-08-10,21.0,18.5
Adamawa,2020-08-17,0.0,17.25
Adamawa,2020-08-24,32.0,19.0
Adamawa,2020-08-31,11.0,16.0
Adamawa,2020-09-07,0.0,10.75
Adamawa,2020-09-14,2.0,11.25
Adamawa,2020-09-21,4.0,4.25
Adamawa,2020-09-28,6.0,3.0
Adamawa,2020-10-05,8.0,5.0
Adamawa,2020-10-12,0.0,4.5
Adamawa,2020-10-19,0.0,3.5
Adamawa,2020-10-26,9.0,4.25
Adamawa,2020-11-02,0.0,2.25
Adamawa,2020-11-09,4.0,3.25
Adamawa,2020-11-16,0.0,3.25
Adamawa,2020-11-23,0.0,1.0
Adamawa,2020-11-30,0.0,1.0
Adamawa,2020-12-07,0.0,0.0
Adamawa,2020-12-14,51.0,12.75
Adamawa,2020-12-21,26.0,19.25
Adamawa,2020-12-28,36.0,28.25
Adamawa,2021-01-04,33.0,36.5
Adamawa,2021-01-11,73.0,42.0
Adamawa,2021-01-18,76.0,54.5
Adamawa,2021-01-25,35.0,54.25
Adamawa,2021-02-01,23.0,51.75
Adamawa,2021-02-08,94.0,57.0
Adamawa,2021-02-15,0.0,38.0
Adamawa,2021-02-22,37.0,38.5
Adamawa,2021-03-01,0.0,32.75
Adamawa,2021-03-08,180.0,54.25
Adamawa,2021-03-15,0.0,54.25
Adamawa,2021-03-22,0.0,45.0
Adamawa,2021-03-29,109.0,72.25
Adamawa,2021-04-05,0.0,27.25
Adamawa,2021-04-12,0.0,27.25
Adamawa,2021-04-19,12.0,30.25
Adamawa,2021-04-26,0.0,3.0
Adamawa,2021-05-03,40.0,13.0
Adamawa,2021-05-10,8.0,15.0
Adamawa,2021-05-17,19.0,16.75
Adamawa,2021-05-24,0.0,16.75
Adamawa,2021-05-31,0.0,6.75
Adamawa,2021-06-07,1.0,5.0
Adamawa,2021-06-14,0.0,0.25
Adamawa,2021-06-21,3.0,1.0
Adamawa,2021-06-28,0.0,1.0
Adamawa,2021-07-05,0.0,0.75
Adamawa,2021-07-12,0.0,0.75
Adamawa,2021-07-19,0.0,0.0
Adamawa,2021-07-26,0.0,0.0
Adamawa,2021-08-02,0.0,0.0
Adamawa,2021-08-09,0.0,0.0
Adamawa,2021-08-16,0.0,0.0
Adamawa,2021-08-23,2.0,0.5
Adamawa,2021-08-30,0.0,0.5
Adamawa,2021-09-06,17.0,4.75
Adamawa,2021-09-13,0.0,4.75
Adamawa,2021-09-20,4.0,5.25
Adamawa,2021-09-27,0.0,5.25
Adamawa,2021-10-04,0.0,1.0
Adamawa,2021-10-11,0.0,1.0
Adamawa,2021-10-18,0.0,0.0
Adamawa,2021-10-25,0.0,0.0
Adamawa,2021-11-01,0.0,0.0
Adamawa,2021-11-08,0.0,0.0
Adamawa,2021-11-15,0.0,0.0
Adamawa,2021-11-22,0.0,0.0
Adamawa,2021-11-29,0.0,0.0
Adamawa,2021-12-06,0.0,0.0
Adamawa,2021-12-13,0.0,0.0
Adamawa,2021-12-20,0.0,0.0
Adamawa,2021-12-27,0.0,0.0
Adamawa,2022-01-03,0.0,0.0
Adamawa,2022-01-10,0.0,0.0
Adamawa,2022-01-17,46.0,11.5
Adamawa,2022-01-24,0.0,11.5
Adamawa,2022-01-31,0.0,11.5
Adamawa,2022-02-07,0.0,11.5
Akwa Ibom,2020-03-02,0.0,
Akwa Ibom,2020-03-09,0.0,
Akwa Ibom,2020-03-16,0.0,
Akwa Ibom,2020-03-23,0.0,0.0
Akwa Ibom,2020-03-30,0.0,0.0
Akwa Ibom,2020-04-06,5.0,1.25
Akwa Ibom,2020-04-13,0.0,1.25
Akwa Ibom,2020-04-20,4.0,2.25
Akwa Ibom,2020-04-27,3.0,3.0
Akwa Ibom,2020-05-04,4.0,2.75
Akwa Ibom,2020-05-11,0.0,2.75
Akwa Ibom,2020-05-18,2.0,2.25
Akwa Ibom,2020-05-25,6.0,3.0
Akwa Ibom,2020-06-01,11.0,4.75
Akwa Ibom,2020-06-08,0.0,4.75
Akwa Ibom,2020-06-15,3.0,5.0
Akwa Ibom,2020-06-22,17.0,7.75
Akwa Ibom,2020-06-29,21.0,10.25
Akwa Ibom,2020-07-06,26.0,16.75
Akwa Ibom,2020-07-13,33.0,24.25
Akwa Ibom,2020-07-20,31.0,27.75
Akwa Ibom,2020-07-27,33.0,30.75
Akwa Ibom,2020-08-03,0.0,24.25
Akwa Ibom,2020-08-10,14.0,19.5
Akwa Ibom,2020-08-17,15.0,15.5
Akwa Ibom,2020-08-24,21.0,12.5
Akwa Ibom,2020-08-31,7.0,14.25
Akwa Ibom,2020-09-07,4.0,11.75
Akwa Ibom,2020-09-14,3.0,8.75
Akwa Ibom,2020-09-21,2.0,4.0
